feature,importance
acc_x_num_peaks,0.1159188805773383
acc_y_num_peaks,0.09231575834399101
acc_y_kurtosis,0.08257143361065197
acc_z_range,0.07622653162676842
acc_x_kurtosis,0.06930033464081169
acc_z_min,0.04703934282306603
acc_z_wavelet_entropy,0.041186657971756614
acc_y_peak_std,0.03907819850966448
peak_ground_acceleration,0.03629968259596139
acc_magnitude_max,0.036134233872258475
acc_x_peak_std,0.026353165985311712
acc_y_wavelet_entropy,0.02362417074489333
acc_z_wavelet_level0_std,0.021316105437592714
acc_y_wavelet_level0_std,0.01955343123963245
acc_y_range,0.019367651016237344
acc_z_kurtosis,0.018865787985296412
acc_pca_var_ratio_1,0.01631170570988349
acc_y_autocorr_max,0.015055995459625358
acc_pca_var_ratio_3,0.013077300628021597
acc_x_wavelet_entropy,0.012981073698330183
acc_x_max,0.011514170245391468
acc_x_range,0.010847619432202815
acc_x_wavelet_level0_std,0.009864841803019903
acc_y_max,0.009378400573174342
acc_z_peak_std,0.009296747377570509
acc_z_max,0.009219269714196015
acc_y_min,0.007292438890353537
acc_y_wavelet_level4_std,0.007007222834500022
acc_x_min,0.006460192596014211
acc_z_coefficient_variation,0.006110313209939802
acc_y_wavelet_level3_std,0.0056073032291923675
acc_z_std,0.005447442770394357
acc_x_wavelet_level4_std,0.005442942619486187
acc_x_wavelet_level3_std,0.005364302764914918
acc_magnitude_std,0.005178579562500484
high_freq_to_total_ratio,0.004946228630525547
acc_z_wavelet_level4_std,0.004920962547281106
acc_y_wavelet_level1_std,0.004814276165360708
acc_x_std,0.004692669750718014
acc_z_wavelet_level3_std,0.004640301130184799
acc_y_std,0.0046196602565956885
acc_z_wavelet_level2_std,0.00455217738665046
acc_y_wavelet_level2_std,0.004399506803251776
acc_x_peak_mean,0.00424447029781065
acc_x_rms,0.004037248235286253
acc_y_rms,0.003774569950678667
acc_x_wavelet_level2_std,0.003590911160278596
acc_z_wavelet_level1_std,0.0035141293117477734
acc_y_peak_mean,0.0034018415199786427
acc_x_wavelet_level1_std,0.0032418167537075562
